t,hp,action,ani_state,ani_phase,state_time,task,attacker,foes,foe_d,foe_actions
6.09,75,0,2,3,0.34,PS_Normal,Orc_Warrior_01,2,163,14;14
6.2,75,0,2,3,0.452,PS_Normal,Orc_Warrior_01,2,163,14;14
6.3,75,0,2,5,0.567,PS_Normal,Orc_Warrior_01,2,196,2;0
6.43,75,0,2,5,0.7,PS_Normal,Orc_Warrior_01,2,196,2;0
6.54,75,0,2,5,0.813,PS_Normal,Orc_Warrior_01,2,196,2;0
6.64,75,0,2,5,0.917,PS_Normal,Orc_Warrior_01,2,196,2;0
6.74,75,0,2,5,1.027,PS_Normal,Orc_Warrior_01,2,196,2;0
6.84,75,0,2,5,1.141,PS_Normal,Orc_Warrior_01,2,196,2;0
6.95,25,26,2,1,0.056,ZS_Stumble,Orc_Warrior_01,2,196,2;0
7.06,25,26,2,1,0.171,ZS_Stumble,Orc_Warrior_01,2,196,2;0
7.16,25,26,2,1,0.281,ZS_Stumble,Orc_Warrior_01,2,196,2;0
7.27,25,0,2,3,0.073,PS_Normal,Orc_Warrior_01,2,196,2;0
7.37,25,0,2,3,0.183,PS_Normal,Orc_Warrior_01,2,196,2;0
7.48,0,0,2,4,0.081,ZS_Unconscious,Orc_Warrior_01,2,196,2;0
7.58,0,0,2,4,0.199,ZS_Unconscious,Orc_Warrior_01,2,196,2;0
7.69,0,0,2,4,0.309,ZS_Unconscious,Orc_Warrior_01,2,196,2;0
7.79,0,0,2,4,0.417,ZS_Unconscious,Orc_Warrior_01,2,196,2;0
7.89,0,0,17,4,0.526,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
8.02,0,0,17,4,0.663,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
8.13,0,0,17,4,0.785,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
8.24,0,0,17,4,0.9,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
8.34,0,0,17,5,0.08,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
8.44,0,0,17,5,0.195,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
8.55,0,0,17,5,0.305,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
8.66,0,0,17,5,0.419,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
8.76,0,0,17,5,0.541,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
8.87,0,0,17,5,0.665,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
8.98,0,0,17,5,0.787,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
9.08,0,0,17,5,0.905,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
9.19,0,0,17,5,1.014,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
9.3,0,0,17,5,1.128,ZS_Unconscious,Orc_Warrior_01,2,171,0;14
9.4,0,0,17,5,1.249,ZS_Unconscious,Orc_Warrior_01,1,213,68
9.54,0,0,17,5,1.393,ZS_Unconscious,Orc_Warrior_01,1,213,68
9.64,0,0,17,5,1.504,ZS_Unconscious,Orc_Warrior_01,1,213,68
9.74,0,0,17,5,1.623,ZS_Unconscious,Orc_Warrior_01,1,213,68
9.85,0,0,17,5,1.742,ZS_Unconscious,Orc_Warrior_01,1,213,68
9.96,0,0,17,5,1.858,ZS_Unconscious,Orc_Warrior_01,1,213,68
10.07,0,0,17,5,1.973,ZS_Unconscious,Orc_Warrior_01,1,213,68
10.17,10,0,17,5,0.08,ZS_Unconscious,Orc_Warrior_01,1,213,68
10.28,10,0,17,5,0.202,ZS_Unconscious,Orc_Warrior_01,1,213,68
10.38,10,0,17,5,0.318,ZS_Unconscious,Orc_Warrior_01,1,213,68
10.48,10,0,17,5,0.429,ZS_Unconscious,Orc_Warrior_01,1,213,68
10.59,10,0,17,5,0.542,ZS_Unconscious,Orc_Warrior_01,1,213,68
10.69,10,0,17,5,0.658,ZS_Unconscious,Orc_Warrior_01,1,213,68
10.8,10,0,17,5,0.769,ZS_Unconscious,Orc_Warrior_01,1,213,68
10.9,10,0,17,5,0.89,ZS_Unconscious,Orc_Warrior_01,1,213,68
11.01,10,0,17,5,1.004,ZS_Unconscious,Orc_Warrior_01,0,-1,
11.14,10,0,17,5,1.149,ZS_Unconscious,Orc_Warrior_01,0,-1,
11.24,10,0,17,5,1.263,ZS_Unconscious,Orc_Warrior_01,0,-1,
11.35,10,0,17,5,1.378,ZS_Unconscious,Orc_Warrior_01,0,-1,
11.45,10,0,17,5,1.495,ZS_Unconscious,Orc_Warrior_01,0,-1,
11.56,10,0,17,5,1.615,ZS_Unconscious,Orc_Warrior_01,0,-1,
11.67,10,0,17,5,1.722,ZS_Unconscious,Orc_Warrior_01,0,-1,
11.78,10,0,17,5,1.845,ZS_Unconscious,Orc_Warrior_01,0,-1,
11.88,10,0,17,5,1.957,ZS_Unconscious,Orc_Warrior_01,0,-1,
11.99,20,0,17,5,0.07,ZS_Unconscious,Orc_Warrior_01,0,-1,
12.09,20,0,17,5,0.185,ZS_Unconscious,Orc_Warrior_01,0,-1,
12.19,20,0,17,5,0.297,ZS_Unconscious,Orc_Warrior_01,0,-1,
12.29,20,0,17,5,0.417,ZS_Unconscious,Orc_Warrior_01,0,-1,
12.4,20,0,17,5,0.536,ZS_Unconscious,Orc_Warrior_01,0,-1,
12.51,20,0,17,5,0.658,ZS_Unconscious,Orc_Warrior_01,0,-1,
12.64,20,0,17,5,0.804,ZS_Unconscious,Orc_Warrior_01,0,-1,
12.75,20,0,17,5,0.921,ZS_Unconscious,Orc_Warrior_01,0,-1,
12.86,20,0,17,5,1.037,ZS_Unconscious,Orc_Warrior_01,0,-1,
12.96,20,0,17,5,1.151,ZS_Unconscious,Orc_Warrior_01,0,-1,
13.07,20,0,17,5,1.264,ZS_Unconscious,Orc_Warrior_01,0,-1,
13.17,20,0,17,5,1.383,ZS_Unconscious,Orc_Warrior_01,0,-1,
13.28,20,0,17,5,1.495,ZS_Unconscious,Orc_Warrior_01,0,-1,
13.38,20,0,17,5,1.61,ZS_Unconscious,Orc_Warrior_01,0,-1,
13.49,20,0,17,5,1.728,ZS_Unconscious,Orc_Warrior_01,0,-1,
13.6,20,0,17,5,1.84,ZS_Unconscious,Orc_Warrior_01,0,-1,
13.7,20,0,17,5,1.952,ZS_Unconscious,Orc_Warrior_01,0,-1,
13.8,30,0,17,5,0.06,ZS_Unconscious,Orc_Warrior_01,0,-1,
13.9,30,0,17,5,0.181,ZS_Unconscious,Orc_Warrior_01,0,-1,
14.01,30,0,17,5,0.295,ZS_Unconscious,Orc_Warrior_01,0,-1,
14.14,30,0,17,5,0.432,ZS_Unconscious,Orc_Warrior_01,0,-1,
14.24,30,0,17,5,0.547,ZS_Unconscious,Orc_Warrior_01,0,-1,
14.35,30,0,17,5,0.663,ZS_Unconscious,Orc_Warrior_01,0,-1,
14.46,30,0,17,5,0.776,ZS_Unconscious,Orc_Warrior_01,0,-1,
14.56,30,0,17,5,0.887,ZS_Unconscious,Orc_Warrior_01,0,-1,
14.66,30,0,17,5,1.002,ZS_Unconscious,Orc_Warrior_01,0,-1,
14.77,30,0,17,5,1.112,ZS_Unconscious,Orc_Warrior_01,0,-1,
14.87,30,0,17,5,1.227,ZS_Unconscious,Orc_Warrior_01,0,-1,
14.97,30,0,17,5,1.342,ZS_Unconscious,Orc_Warrior_01,0,-1,
15.08,30,0,17,5,1.462,ZS_Unconscious,Orc_Warrior_01,0,-1,
15.18,30,0,17,5,1.58,ZS_Unconscious,Orc_Warrior_01,0,-1,
15.29,30,0,17,5,1.698,ZS_Unconscious,Orc_Warrior_01,0,-1,
15.39,30,0,17,5,1.805,ZS_Unconscious,Orc_Warrior_01,0,-1,
15.5,30,0,17,5,1.917,ZS_Unconscious,Orc_Warrior_01,0,-1,
15.6,40,0,17,4,0.027,PS_Normal,Orc_Warrior_01,0,-1,
15.74,40,0,17,4,0.178,PS_Normal,Orc_Warrior_01,0,-1,
15.84,40,0,17,4,0.293,PS_Normal,Orc_Warrior_01,0,-1,
15.94,40,0,17,4,0.411,PS_Normal,Orc_Warrior_01,0,-1,
16.05,40,0,17,4,0.524,PS_Normal,Orc_Warrior_01,0,-1,
16.15,40,0,17,4,0.635,PS_Normal,Orc_Warrior_01,0,-1,
16.26,40,0,17,4,0.748,PS_Normal,Orc_Warrior_01,0,-1,
16.36,40,0,2,4,0.863,PS_Normal,Orc_Warrior_01,0,-1,
16.46,40,0,2,4,0.982,PS_Normal,Orc_Warrior_01,0,-1,
16.57,40,0,2,4,1.092,PS_Normal,Orc_Warrior_01,0,-1,
16.67,40,0,2,4,1.214,PS_Normal,Orc_Warrior_01,0,-1,
16.78,40,0,2,4,1.328,PS_Normal,Orc_Warrior_01,0,-1,
16.88,40,0,2,4,1.445,PS_Normal,Orc_Warrior_01,0,-1,
16.99,40,0,2,4,1.554,PS_Normal,Orc_Warrior_01,0,-1,
17.09,40,0,2,5,0.06,PS_Normal,Orc_Warrior_01,0,-1,
17.2,40,0,2,5,0.176,PS_Normal,Orc_Warrior_01,0,-1,
17.33,40,0,2,5,0.321,PS_Normal,Orc_Warrior_01,0,-1,
17.44,40,0,2,5,0.427,PS_Normal,Orc_Warrior_01,0,-1,
17.54,40,0,2,5,0.546,PS_Normal,Orc_Warrior_01,0,-1,
17.65,40,0,2,5,0.662,PS_Normal,Orc_Warrior_01,0,-1,
17.75,40,0,2,5,0.776,PS_Normal,Orc_Warrior_01,0,-1,
17.86,40,0,2,5,0.884,PS_Normal,Orc_Warrior_01,0,-1,
17.96,40,0,2,5,1.005,PS_Normal,Orc_Warrior_01,0,-1,
18.07,40,0,2,5,1.119,PS_Normal,Orc_Warrior_01,0,-1,
18.17,40,0,2,5,1.234,PS_Normal,Orc_Warrior_01,0,-1,
18.28,40,0,2,5,1.353,PS_Normal,Orc_Warrior_01,0,-1,
18.38,40,0,2,5,1.464,PS_Normal,Orc_Warrior_01,0,-1,
18.48,40,0,2,5,1.576,PS_Normal,Orc_Warrior_01,0,-1,
18.59,40,0,2,5,1.691,PS_Normal,Orc_Warrior_01,0,-1,
18.69,40,0,2,5,1.808,PS_Normal,Orc_Warrior_01,0,-1,
18.79,40,0,2,5,1.921,PS_Normal,Orc_Warrior_01,0,-1,
18.92,40,0,2,5,2.059,PS_Normal,Orc_Warrior_01,0,-1,
19.03,40,0,2,5,2.172,PS_Normal,Orc_Warrior_01,0,-1,
19.13,40,0,2,5,2.289,PS_Normal,Orc_Warrior_01,0,-1,
19.24,40,0,2,5,2.399,PS_Normal,Orc_Warrior_01,0,-1,
19.34,40,0,2,5,2.516,PS_Normal,Orc_Warrior_01,0,-1,
19.45,40,0,2,5,2.626,PS_Normal,Orc_Warrior_01,0,-1,
19.55,40,0,2,5,2.734,PS_Normal,Orc_Warrior_01,0,-1,
19.65,40,0,2,5,2.848,PS_Normal,Orc_Warrior_01,0,-1,
19.76,40,0,2,5,2.963,PS_Normal,Orc_Warrior_01,0,-1,
19.86,40,0,2,5,3.081,PS_Normal,Orc_Warrior_01,0,-1,
19.97,40,0,2,5,3.192,PS_Normal,Orc_Warrior_01,0,-1,
20.07,40,0,2,5,3.311,PS_Normal,Orc_Warrior_01,0,-1,
20.18,40,0,2,5,3.431,PS_Normal,Orc_Warrior_01,0,-1,
20.28,40,0,2,5,3.539,PS_Normal,Orc_Warrior_01,0,-1,
20.39,40,0,2,5,3.65,PS_Normal,Orc_Warrior_01,0,-1,
20.52,40,0,2,5,3.787,PS_Normal,Orc_Warrior_01,0,-1,
20.62,40,0,2,5,3.898,PS_Normal,Orc_Warrior_01,0,-1,
20.73,40,0,2,5,4.004,PS_Normal,Orc_Warrior_01,0,-1,
20.83,40,0,2,5,4.119,PS_Normal,Orc_Warrior_01,0,-1,
20.93,40,0,2,5,4.233,PS_Normal,Orc_Warrior_01,0,-1,
21.04,40,0,2,5,4.341,PS_Normal,Orc_Warrior_01,0,-1,
21.14,40,0,2,5,4.455,PS_Normal,Orc_Warrior_01,0,-1,
21.25,40,0,2,5,4.569,PS_Normal,Orc_Warrior_01,0,-1,
21.35,40,0,2,5,4.676,PS_Normal,Orc_Warrior_01,0,-1,
21.46,40,0,2,5,4.786,PS_Normal,Orc_Warrior_01,0,-1,
21.56,40,0,2,5,4.896,PS_Normal,Orc_Warrior_01,0,-1,
21.66,40,0,2,5,5.015,PS_Normal,Orc_Warrior_01,0,-1,
21.77,40,0,2,5,5.125,PS_Normal,Orc_Warrior_01,0,-1,
21.87,40,0,2,5,5.236,PS_Normal,Orc_Warrior_01,0,-1,
21.97,40,0,2,5,5.354,PS_Normal,Orc_Warrior_01,0,-1,
22.11,40,0,2,5,5.49,PS_Normal,Orc_Warrior_01,0,-1,
22.21,40,0,2,5,5.605,PS_Normal,Orc_Warrior_01,0,-1,
22.32,40,0,2,5,5.721,PS_Normal,Orc_Warrior_01,0,-1,
22.42,40,0,2,5,5.837,PS_Normal,Orc_Warrior_01,0,-1,
22.53,40,0,2,5,5.953,PS_Normal,Orc_Warrior_01,0,-1,
22.64,40,0,2,5,6.06,PS_Normal,Orc_Warrior_01,0,-1,
22.74,40,0,2,5,6.173,PS_Normal,Orc_Warrior_01,0,-1,
22.84,40,0,2,5,6.287,PS_Normal,Orc_Warrior_01,0,-1,
22.95,40,0,2,5,6.398,PS_Normal,Orc_Warrior_01,0,-1,
23.05,40,0,2,5,6.512,PS_Normal,Orc_Warrior_01,0,-1,
23.16,40,0,2,5,6.627,PS_Normal,Orc_Warrior_01,0,-1,
23.26,40,0,2,5,6.744,PS_Normal,Orc_Warrior_01,0,-1,
23.37,40,0,2,5,6.854,PS_Normal,Orc_Warrior_01,0,-1,
23.47,40,0,2,5,6.966,PS_Normal,Orc_Warrior_01,0,-1,
23.57,40,0,2,5,7.082,PS_Normal,Orc_Warrior_01,0,-1,
23.71,40,0,2,5,7.22,PS_Normal,Orc_Warrior_01,0,-1,
23.81,40,0,2,5,7.34,PS_Normal,Orc_Warrior_01,0,-1,
23.92,40,0,2,5,7.456,PS_Normal,Orc_Warrior_01,0,-1,
24.03,40,0,2,5,7.575,PS_Normal,Orc_Warrior_01,0,-1,
24.14,40,0,2,5,7.688,PS_Normal,Orc_Warrior_01,0,-1,
24.24,40,0,2,5,7.798,PS_Normal,Orc_Warrior_01,0,-1,
24.34,40,0,2,5,7.915,PS_Normal,Orc_Warrior_01,0,-1,
24.45,40,0,2,5,8.028,PS_Normal,Orc_Warrior_01,0,-1,
24.56,40,0,2,5,8.137,PS_Normal,Orc_Warrior_01,0,-1,
24.66,40,0,2,5,8.25,PS_Normal,Orc_Warrior_01,0,-1,
24.77,40,0,2,5,8.366,PS_Normal,Orc_Warrior_01,0,-1,
24.87,40,0,2,5,8.482,PS_Normal,Orc_Warrior_01,0,-1,
24.98,40,0,2,5,8.593,PS_Normal,Orc_Warrior_01,0,-1,
25.08,40,0,2,5,8.703,PS_Normal,Orc_Warrior_01,0,-1,
25.21,40,0,2,5,8.838,PS_Normal,Orc_Warrior_01,0,-1,
25.31,40,0,2,5,8.953,PS_Normal,Orc_Warrior_01,0,-1,
25.42,40,0,2,5,9.066,PS_Normal,Orc_Warrior_01,0,-1,
25.53,40,0,2,5,9.181,PS_Normal,Orc_Warrior_01,0,-1,
25.63,40,0,2,5,9.298,PS_Normal,Orc_Warrior_01,0,-1,
25.74,40,0,2,5,9.412,PS_Normal,Orc_Warrior_01,0,-1,
25.84,40,0,2,5,9.523,PS_Normal,Orc_Warrior_01,0,-1,
25.95,40,0,2,5,9.639,PS_Normal,Orc_Warrior_01,0,-1,
26.05,40,0,2,5,9.757,PS_Normal,Orc_Warrior_01,0,-1,
26.15,40,0,2,5,9.874,PS_Normal,Orc_Warrior_01,0,-1,
26.26,40,0,2,5,9.986,PS_Normal,Orc_Warrior_01,0,-1,
26.36,40,0,2,5,10.098,PS_Normal,Orc_Warrior_01,0,-1,
26.46,40,0,2,5,10.209,PS_Normal,Orc_Warrior_01,0,-1,
26.57,40,0,2,5,10.324,PS_Normal,Orc_Warrior_01,0,-1,
26.67,40,0,2,5,10.438,PS_Normal,Orc_Warrior_01,0,-1,
26.8,40,0,2,5,10.581,PS_Normal,Orc_Warrior_01,0,-1,
26.91,40,0,2,5,10.694,PS_Normal,Orc_Warrior_01,0,-1,
27.01,40,0,2,5,10.812,PS_Normal,Orc_Warrior_01,0,-1,
27.12,40,0,2,5,10.925,PS_Normal,Orc_Warrior_01,0,-1,
27.22,40,0,2,5,11.037,PS_Normal,Orc_Warrior_01,0,-1,
27.32,40,0,2,5,11.153,PS_Normal,Orc_Warrior_01,0,-1,
27.43,40,0,2,5,11.271,PS_Normal,Orc_Warrior_01,0,-1,
27.53,40,0,2,5,11.383,PS_Normal,Orc_Warrior_01,0,-1,
27.64,40,0,2,5,11.498,PS_Normal,Orc_Warrior_01,0,-1,
27.74,40,0,2,5,11.622,PS_Normal,Orc_Warrior_01,0,-1,
27.85,40,0,2,5,11.736,PS_Normal,Orc_Warrior_01,0,-1,
27.95,40,0,2,5,11.857,PS_Normal,Orc_Warrior_01,0,-1,
28.06,40,0,2,5,11.979,PS_Normal,Orc_Warrior_01,0,-1,
28.17,40,0,2,5,12.096,PS_Normal,Orc_Warrior_01,0,-1,
28.27,40,0,2,5,12.211,PS_Normal,Orc_Warrior_01,0,-1,
28.4,40,0,2,5,12.351,PS_Normal,Orc_Warrior_01,0,-1,
28.5,40,0,2,5,12.465,PS_Normal,Orc_Warrior_01,0,-1,
28.61,40,0,2,5,12.579,PS_Normal,Orc_Warrior_01,0,-1,
28.72,40,0,2,5,12.694,PS_Normal,Orc_Warrior_01,0,-1,
28.82,40,0,2,5,12.812,PS_Normal,Orc_Warrior_01,0,-1,
28.92,40,0,2,5,12.934,PS_Normal,Orc_Warrior_01,0,-1,
29.03,40,0,2,5,13.048,PS_Normal,Orc_Warrior_01,0,-1,
29.13,40,0,2,5,13.169,PS_Normal,Orc_Warrior_01,0,-1,
29.24,40,0,2,5,13.286,PS_Normal,Orc_Warrior_01,0,-1,
29.35,40,0,2,5,13.401,PS_Normal,Orc_Warrior_01,0,-1,
29.45,40,0,2,5,13.514,PS_Normal,Orc_Warrior_01,0,-1,
29.56,40,0,2,5,13.634,PS_Normal,Orc_Warrior_01,0,-1,
29.66,40,0,2,5,13.751,PS_Normal,Orc_Warrior_01,0,-1,
29.77,40,0,2,5,13.861,PS_Normal,Orc_Warrior_01,0,-1,
29.87,40,0,2,5,13.977,PS_Normal,Orc_Warrior_01,0,-1,
30.0,40,0,2,5,14.115,PS_Normal,Orc_Warrior_01,0,-1,
30.11,40,0,2,5,14.227,PS_Normal,Orc_Warrior_01,0,-1,
30.21,40,0,2,5,14.346,PS_Normal,Orc_Warrior_01,0,-1,
30.31,40,0,2,5,14.466,PS_Normal,Orc_Warrior_01,0,-1,
30.42,40,0,2,5,14.582,PS_Normal,Orc_Warrior_01,0,-1,
30.53,40,0,2,5,14.704,PS_Normal,Orc_Warrior_01,0,-1,
30.64,40,0,2,5,14.822,PS_Normal,Orc_Warrior_01,0,-1,
30.75,40,0,2,5,14.941,PS_Normal,Orc_Warrior_01,0,-1,
30.86,40,0,2,5,15.054,PS_Normal,Orc_Warrior_01,0,-1,
30.96,40,0,2,5,15.176,PS_Normal,Orc_Warrior_01,0,-1,
31.07,40,0,2,5,15.291,PS_Normal,Orc_Warrior_01,0,-1,
31.17,40,0,2,5,15.408,PS_Normal,Orc_Warrior_01,0,-1,
31.28,40,0,2,5,15.519,PS_Normal,Orc_Warrior_01,0,-1,
31.38,40,0,2,5,15.631,PS_Normal,Orc_Warrior_01,0,-1,
31.51,40,0,2,5,15.77,PS_Normal,Orc_Warrior_01,0,-1,
31.61,40,0,2,5,15.887,PS_Normal,Orc_Warrior_01,0,-1,
31.72,40,0,2,5,15.999,PS_Normal,Orc_Warrior_01,0,-1,
31.82,40,0,2,5,16.116,PS_Normal,Orc_Warrior_01,0,-1,
31.93,40,0,2,5,16.232,PS_Normal,Orc_Warrior_01,0,-1,
32.03,40,0,2,5,16.348,PS_Normal,Orc_Warrior_01,0,-1,
32.14,40,0,2,5,16.463,PS_Normal,Orc_Warrior_01,0,-1,
32.25,40,0,2,5,16.578,PS_Normal,Orc_Warrior_01,0,-1,
32.36,40,0,2,5,16.693,PS_Normal,Orc_Warrior_01,0,-1,
32.46,40,0,2,5,16.804,PS_Normal,Orc_Warrior_01,0,-1,
32.56,40,0,2,5,16.915,PS_Normal,Orc_Warrior_01,0,-1,
32.67,40,0,2,5,17.025,PS_Normal,Orc_Warrior_01,0,-1,
32.77,40,0,2,5,17.135,PS_Normal,Orc_Warrior_01,0,-1,
32.87,40,0,2,5,17.253,PS_Normal,Orc_Warrior_01,0,-1,
32.98,40,0,2,5,17.364,PS_Normal,Orc_Warrior_01,0,-1,
33.11,40,0,2,5,17.506,PS_Normal,Orc_Warrior_01,0,-1,
33.21,40,0,2,5,17.615,PS_Normal,Orc_Warrior_01,0,-1,
33.31,40,0,2,5,17.73,PS_Normal,Orc_Warrior_01,0,-1,
33.42,40,0,2,5,17.848,PS_Normal,Orc_Warrior_01,0,-1,
33.53,40,0,2,5,17.961,PS_Normal,Orc_Warrior_01,0,-1,
33.64,40,0,2,5,18.076,PS_Normal,Orc_Warrior_01,0,-1,
33.75,40,0,2,5,18.186,PS_Normal,Orc_Warrior_01,0,-1,
33.85,40,0,2,5,18.295,PS_Normal,Orc_Warrior_01,0,-1,
33.95,40,0,2,5,18.411,PS_Normal,Orc_Warrior_01,0,-1,
34.06,40,0,2,5,18.532,PS_Normal,Orc_Warrior_01,0,-1,
34.17,40,0,2,5,18.648,PS_Normal,Orc_Warrior_01,0,-1,
34.27,40,0,2,5,18.757,PS_Normal,Orc_Warrior_01,0,-1,
34.37,40,0,2,5,18.871,PS_Normal,Orc_Warrior_01,0,-1,
34.48,40,0,2,5,18.983,PS_Normal,Orc_Warrior_01,0,-1,
34.61,40,0,2,5,19.131,PS_Normal,Orc_Warrior_01,0,-1,
34.72,40,0,2,5,19.242,PS_Normal,Orc_Warrior_01,0,-1,
34.82,40,0,2,5,19.352,PS_Normal,Orc_Warrior_01,0,-1,
34.93,40,0,2,5,19.465,PS_Normal,Orc_Warrior_01,0,-1,
35.03,40,0,2,5,19.578,PS_Normal,Orc_Warrior_01,0,-1,
35.14,40,0,2,5,19.694,PS_Normal,Orc_Warrior_01,0,-1,
35.25,40,0,2,5,19.804,PS_Normal,Orc_Warrior_01,0,-1,
35.35,40,0,2,5,19.918,PS_Normal,Orc_Warrior_01,0,-1,
35.45,40,0,2,5,20.03,PS_Normal,Orc_Warrior_01,0,-1,
35.56,40,0,2,5,20.149,PS_Normal,Orc_Warrior_01,0,-1,
35.67,40,0,2,5,20.265,PS_Normal,Orc_Warrior_01,0,-1,
35.77,40,0,2,5,20.381,PS_Normal,Orc_Warrior_01,0,-1,
35.88,40,0,2,5,20.499,PS_Normal,Orc_Warrior_01,0,-1,
35.99,40,0,2,5,20.617,PS_Normal,Orc_Warrior_01,0,-1,
36.12,40,0,2,5,20.76,PS_Normal,Orc_Warrior_01,0,-1,
36.23,40,0,2,5,20.875,PS_Normal,Orc_Warrior_01,0,-1,
36.33,40,0,2,5,20.989,PS_Normal,Orc_Warrior_01,0,-1,
36.44,40,0,2,5,21.105,PS_Normal,Orc_Warrior_01,0,-1,
36.55,40,0,2,5,21.221,PS_Normal,Orc_Warrior_01,0,-1,
36.66,40,0,2,5,21.336,PS_Normal,Orc_Warrior_01,0,-1,
36.76,40,0,2,5,21.446,PS_Normal,Orc_Warrior_01,0,-1,
36.86,40,0,2,5,21.552,PS_Normal,Orc_Warrior_01,0,-1,
