t,hp,cs,attacker,last_hit_ts,enemies_near,nearest_enemy_d,enemy_cs
9.7,200,0,,0,8,166,1;0;0;1
9.84,200,0,,0,8,166,1;0;0;1
9.95,200,0,,0,8,166,1;0;0;1
10.06,200,0,,0,8,166,1;0;0;1
10.17,200,0,,0,8,166,1;0;0;1
10.27,200,0,,0,8,166,1;0;0;1
10.38,200,0,,0,8,166,1;0;0;1
10.48,200,0,,0,8,166,1;0;0;1
10.59,200,0,,0,8,166,1;0;0;1
10.7,200,0,,0,8,128,1;0;0;1
10.83,200,0,,0,8,128,1;0;0;1
10.94,200,0,,0,8,128,1;0;0;1
11.04,200,0,,0,8,128,1;0;0;1
11.15,200,0,,0,8,128,1;0;0;1
11.25,200,0,,0,8,128,1;0;0;1
11.36,200,0,,0,8,128,1;0;0;1
11.47,200,0,,0,8,128,1;0;0;1
11.57,200,0,,0,8,128,1;0;0;1
11.69,200,0,,0,8,128,1;0;0;1
11.8,200,0,,0,8,131,1;0;0;1
11.93,200,0,,0,8,131,1;0;0;1
12.05,200,0,,0,8,131,1;0;0;1
12.17,200,0,,0,8,131,1;0;0;1
12.28,200,0,,0,8,131,1;0;0;1
12.38,200,0,,0,8,131,1;0;0;1
12.5,200,0,,0,8,131,1;0;0;1
12.6,200,0,,0,8,131,1;0;0;1
12.71,200,0,,0,8,131,1;0;0;1
12.81,200,0,,0,8,120,1;0;0;1
12.95,200,0,,0,8,120,1;0;0;1
13.06,200,0,,0,8,120,1;0;0;1
13.17,200,0,,0,8,120,1;0;0;1
13.28,200,0,,0,8,120,1;0;0;1
13.38,200,0,,0,8,120,1;0;0;1
13.49,200,0,,0,8,120,1;0;0;1
13.6,200,0,,0,8,120,1;0;0;1
13.7,200,0,,0,8,120,1;0;0;1
13.8,200,0,,0,8,120,1;0;0;1
13.91,200,0,,0,8,136,1;0;0;1
14.04,200,0,,0,8,136,1;0;0;1
14.15,200,0,,0,8,136,1;0;0;1
14.25,200,0,,0,8,136,1;0;0;1
14.36,200,0,,0,8,136,1;0;0;1
14.47,200,0,,0,8,136,1;0;0;1
14.58,200,0,,0,8,136,1;0;0;1
14.69,200,0,,0,8,136,1;0;0;1
14.8,200,0,,0,8,136,1;0;0;1
14.9,200,0,,0,8,136,1;0;0;1
15.02,200,0,,0,8,181,1;0;0;1
15.15,200,0,,0,8,181,1;0;0;1
15.26,200,0,,0,8,181,1;0;0;1
15.37,200,0,,0,8,181,1;0;0;1
15.48,200,0,,0,8,181,1;0;0;1
15.59,200,0,,0,8,181,1;0;0;1
15.7,200,0,,0,8,181,1;0;0;1
15.81,200,0,,0,8,181,1;0;0;1
15.91,200,0,,0,8,181,1;0;0;1
16.02,200,0,,0,8,181,1;0;0;1
16.13,200,0,,0,8,130,1;0;0;1
16.27,200,0,,0,8,130,1;0;0;1
16.39,200,0,,0,8,130,1;0;0;1
16.51,200,0,,0,8,130,1;0;0;1
16.63,200,0,,0,8,130,1;0;0;1
16.74,200,0,,0,8,130,1;0;0;1
16.84,200,0,,0,8,130,1;0;0;1
16.95,200,0,,0,8,130,1;0;0;1
17.07,200,0,,0,8,130,1;0;0;1
17.17,200,0,,0,7,159,1;0;0;1
17.31,200,0,,0,7,159,1;0;0;1
17.43,200,0,,0,7,159,1;0;0;1
17.53,200,0,,0,7,159,1;0;0;1
17.63,200,0,,0,7,159,1;0;0;1
17.74,200,0,,0,7,159,1;0;0;1
17.85,200,0,,0,7,159,1;0;0;1
17.95,200,0,,0,7,159,1;0;0;1
18.07,200,0,,0,7,159,1;0;0;1
18.17,200,0,,0,7,125,1;0;0;1
18.31,200,0,,0,7,125,1;0;0;1
18.42,200,0,,0,7,125,1;0;0;1
18.52,200,0,,0,7,125,1;0;0;1
18.63,200,0,,0,7,125,1;0;0;1
18.74,200,0,,0,7,125,1;0;0;1
18.85,200,0,,0,7,125,1;0;0;1
18.96,200,0,,0,7,125,1;0;0;1
19.07,200,0,,0,7,125,1;0;0;1
19.17,200,0,,0,7,125,1;0;0;1
19.28,200,0,,0,8,132,1;0;0;1
19.42,200,0,,0,8,132,1;0;0;1
19.52,200,0,,0,8,132,1;0;0;1
19.63,200,0,,0,8,132,1;0;0;1
19.74,200,0,,0,8,132,1;0;0;1
19.85,200,0,,0,8,132,1;0;0;1
19.95,200,0,,0,8,132,1;0;0;1
20.06,200,0,,0,8,132,1;0;0;1
20.16,200,0,,0,8,132,1;0;0;1
20.27,200,0,,0,8,132,1;0;0;1
20.37,200,0,,0,8,137,1;0;0;1
20.51,200,0,,0,8,137,1;0;0;1
20.62,200,0,,0,8,137,1;0;0;1
20.73,200,0,,0,8,137,1;0;0;1
20.84,200,0,,0,8,137,1;0;0;1
20.95,200,0,,0,8,137,1;0;0;1
21.07,200,0,,0,8,137,1;0;0;1
21.18,200,0,,0,8,137,1;0;0;1
21.3,200,0,,0,8,137,1;0;0;1
21.41,200,0,,0,7,143,1;0;0;1
21.54,200,0,,0,7,143,1;0;0;1
21.65,200,0,,0,7,143,1;0;0;1
21.76,200,0,,0,7,143,1;0;0;1
21.88,200,0,,0,7,143,1;0;0;1
21.98,200,0,,0,7,143,1;0;0;1
22.08,200,0,,0,7,143,1;0;0;1
22.19,200,0,,0,7,143,1;0;0;1
22.29,200,0,,0,7,143,1;0;0;1
22.4,200,0,,0,7,143,1;0;0;1
22.51,200,0,,0,7,170,1;0;0;1
22.64,200,0,,0,7,170,1;0;0;1
22.75,200,0,,0,7,170,1;0;0;1
22.86,200,0,,0,7,170,1;0;0;1
22.97,200,0,,0,7,170,1;0;0;1
23.08,200,0,,0,7,170,1;0;0;1
23.18,200,0,,0,7,170,1;0;0;1
23.29,200,0,,0,7,170,1;0;0;1
23.4,200,0,,0,7,170,1;0;0;1
23.5,200,0,,0,7,170,1;0;0;1
23.61,200,0,,0,7,146,1;0;0;1
23.75,200,0,,0,7,146,1;0;0;1
23.86,200,0,,0,7,146,1;0;0;1
23.97,200,0,,0,7,146,1;0;0;1
24.08,200,0,,0,7,146,1;0;0;1
24.18,200,0,,0,7,146,1;0;0;1
24.29,200,0,,0,7,146,1;0;0;1
24.39,200,0,,0,7,146,1;0;0;1
24.5,200,0,,0,7,146,1;0;0;1
24.61,200,0,,0,7,146,1;0;0;1
24.72,200,0,,0,7,124,1;0;0;1
24.86,200,0,,0,7,124,1;0;0;1
24.97,200,0,,0,7,124,1;0;0;1
25.08,200,0,,0,7,124,1;0;0;1
25.18,200,0,,0,7,124,1;0;0;1
25.29,200,0,,0,7,124,1;0;0;1
25.4,200,0,,0,7,124,1;0;0;1
25.51,200,0,,0,7,124,1;0;0;1
25.62,200,0,,0,7,124,1;0;0;1
25.72,200,0,,0,7,124,1;0;0;1
25.83,200,0,,0,7,197,1;0;0;1
25.98,200,0,,0,7,197,1;0;0;1
26.08,200,0,,0,7,197,1;0;0;1
26.19,200,0,,0,7,197,1;0;0;1
26.3,200,0,,0,7,197,1;0;0;1
26.41,200,0,,0,7,197,1;0;0;1
26.51,200,0,,0,7,197,1;0;0;1
26.62,200,0,,0,7,197,1;0;0;1
26.73,200,0,,0,7,197,1;0;0;1
26.84,200,0,,0,7,142,1;0;0;1
26.98,200,0,,0,7,142,1;0;0;1
27.09,200,0,,0,7,142,1;0;0;1
27.2,200,0,,0,7,142,1;0;0;1
27.3,200,0,,0,7,142,1;0;0;1
27.41,200,0,,0,7,142,1;0;0;1
27.52,200,0,,0,7,142,1;0;0;1
27.63,200,0,,0,7,142,1;0;0;1
27.73,200,0,,0,7,142,1;0;0;1
27.84,200,0,,0,7,142,1;0;0;1
27.94,200,0,,0,7,142,1;0;0;1
28.08,200,0,,0,7,142,1;0;0;1
28.19,200,0,,0,7,142,1;0;0;1
28.3,200,0,,0,7,142,1;0;0;1
28.41,200,0,,0,7,142,1;0;0;1
28.51,200,0,,0,7,142,1;0;0;1
28.61,200,0,,0,7,142,1;0;0;1
28.73,200,0,,0,7,142,1;0;0;1
28.84,200,0,,0,7,142,1;0;0;1
28.95,200,0,,0,7,134,1;0;0;1
29.08,200,0,,0,7,134,1;0;0;1
29.18,200,0,,0,7,134,1;0;0;1
29.29,200,0,,0,7,134,1;0;0;1
29.4,200,0,,0,7,134,1;0;0;1
29.5,200,0,,0,7,134,1;0;0;1
29.61,200,0,,0,7,134,1;0;0;1
29.71,200,0,,0,7,134,1;0;0;1
29.81,200,0,,0,7,134,1;0;0;1
29.93,200,0,,0,7,134,1;0;0;1
30.03,200,0,,0,6,160,0;0;1;1
30.17,200,0,,0,6,160,0;0;1;1
30.28,200,0,,0,6,160,0;0;1;1
30.38,200,0,,0,6,160,0;0;1;1
30.49,200,0,,0,6,160,0;0;1;1
30.6,200,0,,0,6,160,0;0;1;1
30.71,200,0,,0,6,160,0;0;1;1
30.81,200,0,,0,6,160,0;0;1;1
30.93,200,0,,0,6,160,0;0;1;1
31.03,200,0,,0,6,160,0;0;1;1
31.14,200,0,,0,6,204,0;0;1;1
31.28,200,0,,0,6,204,0;0;1;1
31.38,200,0,,0,6,204,0;0;1;1
31.49,200,0,,0,6,204,0;0;1;1
31.59,200,0,,0,6,204,0;0;1;1
31.7,200,0,,0,6,204,0;0;1;1
31.81,200,0,,0,6,204,0;0;1;1
31.92,200,0,,0,6,204,0;0;1;1
32.03,200,0,,0,6,204,0;0;1;1
32.14,200,0,,0,6,204,0;0;1;1
32.24,200,0,,0,6,123,0;0;1;1
32.38,200,0,,0,6,123,0;0;1;1
32.48,200,0,,0,6,123,0;0;1;1
32.59,200,0,,0,6,123,0;0;1;1
32.7,200,0,,0,6,123,0;0;1;1
32.81,200,0,,0,6,123,0;0;1;1
32.91,200,0,,0,6,123,0;0;1;1
33.02,200,0,,0,6,123,0;0;1;1
33.14,200,0,,0,6,123,0;0;1;1
33.24,200,0,,0,6,174,0;0;1;1
33.38,200,0,,0,6,174,0;0;1;1
33.49,200,0,,0,6,174,0;0;1;1
33.59,200,0,,0,6,174,0;0;1;1
33.7,200,0,,0,6,174,0;0;1;1
33.8,200,0,,0,6,174,0;0;1;1
33.91,200,0,,0,6,174,0;0;1;1
34.01,200,0,,0,6,174,0;0;1;1
34.12,200,0,,0,6,174,0;0;1;1
34.22,200,0,,0,6,174,0;0;1;1
34.32,200,0,,0,6,140,0;0;1;1
34.46,200,0,,0,6,140,0;0;1;1
34.57,200,0,,0,6,140,0;0;1;1
34.68,200,0,,0,6,140,0;0;1;1
34.79,200,0,,0,6,140,0;0;1;1
34.89,200,0,,0,6,140,0;0;1;1
35.01,200,0,,0,6,140,0;0;1;1
35.11,200,0,,0,6,140,0;0;1;1
35.21,200,0,,0,6,140,0;0;1;1
35.32,200,0,,0,6,140,0;0;1;1
35.42,200,0,,0,6,129,0;0;1;1
35.56,200,0,,0,6,129,0;0;1;1
35.67,200,0,,0,6,129,0;0;1;1
35.77,200,0,,0,6,129,0;0;1;1
35.89,200,0,,0,6,129,0;0;1;1
36.0,200,0,,0,6,129,0;0;1;1
36.11,200,0,,0,6,129,0;0;1;1
36.22,200,0,,0,6,129,0;0;1;1
36.32,200,0,,0,6,129,0;0;1;1
36.43,200,0,,0,6,111,0;0;1;1
36.57,200,0,,0,6,111,0;0;1;1
36.68,200,0,,0,6,111,0;0;1;1
36.79,200,0,,0,6,111,0;0;1;1
36.9,200,0,,0,6,111,0;0;1;1
37.02,200,0,,0,6,111,0;0;1;1
37.12,200,0,,0,6,111,0;0;1;1
37.24,200,0,,0,6,111,0;0;1;1
37.34,200,0,,0,6,111,0;0;1;1
37.45,200,0,,0,6,195,0;0;1;1
37.58,200,0,,0,6,195,0;0;1;1
37.69,200,0,,0,6,195,0;0;1;1
37.79,200,0,,0,6,195,0;0;1;1
37.89,200,0,,0,6,195,0;0;1;1
38.0,200,0,,0,6,195,0;0;1;1
38.1,200,0,,0,6,195,0;0;1;1
38.2,200,0,,0,6,195,0;0;1;1
38.31,200,0,,0,6,195,0;0;1;1
38.41,200,0,,0,6,195,0;0;1;1
38.52,200,0,,0,6,138,0;0;1;1
38.65,200,0,,0,6,138,0;0;1;1
38.76,200,0,,0,6,138,0;0;1;1
38.86,200,0,,0,6,138,0;0;1;1
38.97,200,0,,0,6,138,0;0;1;1
39.08,200,0,,0,6,138,0;0;1;1
39.18,200,0,,0,6,138,0;0;1;1
39.29,200,0,,0,6,138,0;0;1;1
39.4,200,0,,0,6,138,0;0;1;1
39.51,200,0,,0,6,138,0;0;1;1
39.62,200,0,,0,6,181,0;0;1;1
39.75,200,0,,0,6,181,0;0;1;1
39.85,200,0,,0,6,181,0;0;1;1
39.96,200,0,,0,6,181,0;0;1;1
40.07,200,0,,0,6,181,0;0;1;1
40.18,200,0,,0,6,181,0;0;1;1
40.29,200,0,,0,6,181,0;0;1;1
40.41,200,0,,0,6,181,0;0;1;1
40.52,200,0,,0,6,181,0;0;1;1
40.62,200,0,,0,6,130,0;0;1;1
40.76,200,0,,0,6,130,0;0;1;1
40.86,200,0,,0,6,130,0;0;1;1
40.97,200,0,,0,6,130,0;0;1;1
41.08,200,0,,0,6,130,0;0;1;1
41.19,200,0,,0,6,130,0;0;1;1
41.3,200,0,,0,6,130,0;0;1;1
41.4,200,0,,0,6,130,0;0;1;1
41.51,200,0,,0,6,130,0;0;1;1
41.62,200,0,,0,6,130,0;0;1;1
41.72,200,0,,0,6,130,0;0;1;1
41.86,200,0,,0,6,130,0;0;1;1
41.96,200,0,,0,6,130,0;0;1;1
42.07,200,0,,0,6,130,0;0;1;1
42.18,200,0,,0,6,130,0;0;1;1
42.28,200,0,,0,6,130,0;0;1;1
42.38,200,0,,0,6,130,0;0;1;1
42.49,200,0,,0,6,130,0;0;1;1
42.6,200,0,,0,6,130,0;0;1;1
42.71,200,0,,0,6,130,0;0;1;1
42.81,200,0,,0,6,122,0;0;1;1
42.95,200,0,,0,6,122,0;0;1;1
43.05,200,0,,0,6,122,0;0;1;1
43.16,200,0,,0,6,122,0;0;1;1
43.27,200,0,,0,6,122,0;0;1;1
43.38,200,0,,0,6,122,0;0;1;1
43.49,200,0,,0,6,122,0;0;1;1
43.6,200,0,,0,6,122,0;0;1;1
43.71,200,0,,0,6,122,0;0;1;1
43.82,200,0,,0,6,160,0;0;1;1
43.96,200,0,,0,6,160,0;0;1;1
44.07,200,0,,0,6,160,0;0;1;1
44.18,200,0,,0,6,160,0;0;1;1
44.28,200,0,,0,6,160,0;0;1;1
44.39,200,0,,0,6,160,0;0;1;1
44.5,200,0,,0,6,160,0;0;1;1
44.61,200,0,,0,6,160,0;0;1;1
44.71,200,0,,0,6,160,0;0;1;1
44.81,200,0,,0,6,160,0;0;1;1
44.92,200,0,,0,6,149,0;0;1;1
45.07,200,0,,0,6,149,0;0;1;1
45.17,200,0,,0,6,149,0;0;1;1
45.27,200,0,,0,6,149,0;0;1;1
45.38,200,0,,0,6,149,0;0;1;1
45.49,200,0,,0,6,149,0;0;1;1
45.6,200,0,,0,6,149,0;0;1;1
45.7,200,0,,0,6,149,0;0;1;1
45.81,200,0,,0,6,149,0;0;1;1
45.92,200,0,,0,6,149,0;0;1;1
46.03,200,0,,0,7,139,1;0;0;1
46.16,200,0,,0,7,139,1;0;0;1
46.27,200,0,,0,7,139,1;0;0;1
46.38,200,0,,0,7,139,1;0;0;1
46.49,200,0,,0,7,139,1;0;0;1
46.6,200,0,,0,7,139,1;0;0;1
46.71,200,0,,0,7,139,1;0;0;1
46.82,200,0,,0,7,139,1;0;0;1
46.94,200,0,,0,7,139,1;0;0;1
47.04,200,0,,0,6,139,0;0;1;1
47.19,200,0,,0,6,139,0;0;1;1
47.3,200,0,,0,6,139,0;0;1;1
47.41,200,0,,0,6,139,0;0;1;1
47.52,200,0,,0,6,139,0;0;1;1
47.63,200,0,,0,6,139,0;0;1;1
47.74,200,0,,0,6,139,0;0;1;1
47.84,200,0,,0,6,139,0;0;1;1
47.96,200,0,,0,6,139,0;0;1;1
48.06,200,0,,0,7,130,1;0;0;1
48.2,200,0,,0,7,130,1;0;0;1
48.31,200,0,,0,7,130,1;0;0;1
48.41,200,0,,0,7,130,1;0;0;1
48.51,200,0,,0,7,130,1;0;0;1
48.63,200,0,,0,7,130,1;0;0;1
48.73,200,0,,0,7,130,1;0;0;1
48.84,200,0,,0,7,130,1;0;0;1
48.95,200,0,,0,7,130,1;0;0;1
49.06,200,0,,0,7,128,1;0;0;1
49.2,200,0,,0,7,128,1;0;0;1
49.3,200,0,,0,7,128,1;0;0;1
49.41,200,0,,0,7,128,1;0;0;1
49.53,200,0,,0,7,128,1;0;0;1
49.63,200,0,,0,7,128,1;0;0;1
49.73,200,0,,0,7,128,1;0;0;1
49.85,200,0,,0,7,128,1;0;0;1
49.95,200,0,,0,7,128,1;0;0;1
50.06,200,0,,0,7,128,1;0;0;1
50.18,200,0,,0,7,126,1;0;0;1
50.32,200,0,,0,7,126,1;0;0;1
50.43,200,0,,0,7,126,1;0;0;1
50.54,200,0,,0,7,126,1;0;0;1
50.64,200,0,,0,7,126,1;0;0;1
50.75,200,0,,0,7,126,1;0;0;1
50.86,200,0,,0,7,126,1;0;0;1
50.97,200,0,,0,7,126,1;0;0;1
51.08,200,0,,0,7,126,1;0;0;1
51.19,200,0,,0,7,136,1;0;0;1
51.32,200,0,,0,7,136,1;0;0;1
51.42,200,0,,0,7,136,1;0;0;1
51.54,200,0,,0,7,136,1;0;0;1
51.65,200,0,,0,7,136,1;0;0;1
51.75,200,0,,0,7,136,1;0;0;1
51.86,200,0,,0,7,136,1;0;0;1
51.97,200,0,,0,7,136,1;0;0;1
52.08,200,0,,0,7,136,1;0;0;1
52.18,200,0,,0,7,136,1;0;0;1
52.29,200,0,,0,7,150,1;0;0;1
52.44,200,0,,0,7,150,1;0;0;1
52.54,200,0,,0,7,150,1;0;0;1
52.65,200,0,,0,7,150,1;0;0;1
52.76,200,0,,0,7,150,1;0;0;1
52.87,200,0,,0,7,150,1;0;0;1
52.98,200,0,,0,7,150,1;0;0;1
53.09,200,0,,0,7,150,1;0;0;1
53.19,200,0,,0,7,150,1;0;0;1
53.29,200,0,,0,7,150,1;0;0;1
53.4,200,0,,0,7,133,1;0;0;1
53.54,200,0,,0,7,133,1;0;0;1
53.65,200,0,,0,7,133,1;0;0;1
53.76,200,0,,0,7,133,1;0;0;1
53.86,200,0,,0,7,133,1;0;0;1
53.97,200,0,,0,7,133,1;0;0;1
54.08,200,0,,0,7,133,1;0;0;1
54.19,200,0,,0,7,133,1;0;0;1
54.29,200,0,,0,7,133,1;0;0;1
54.41,200,0,,0,7,126,1;0;0;1
54.55,200,0,,0,7,126,1;0;0;1
54.65,200,0,,0,7,126,1;0;0;1
54.76,200,0,,0,7,126,1;0;0;1
54.86,200,0,,0,7,126,1;0;0;1
54.97,200,0,,0,7,126,1;0;0;1
55.09,200,0,,0,7,126,1;0;0;1
55.2,200,0,,0,7,126,1;0;0;1
55.31,200,0,,0,7,126,1;0;0;1
55.41,200,0,,0,7,129,1;0;0;1
55.56,200,0,,0,7,129,1;0;0;1
55.67,200,0,,0,7,129,1;0;0;1
55.77,200,0,,0,7,129,1;0;0;1
55.88,200,0,,0,7,129,1;0;0;1
55.99,200,0,,0,7,129,1;0;0;1
56.1,200,0,,0,7,129,1;0;0;1
56.2,200,0,,0,7,129,1;0;0;1
56.3,200,0,,0,7,129,1;0;0;1
56.41,200,0,,0,7,129,1;0;0;1
56.51,200,0,,0,7,159,1;0;0;1
56.64,200,0,,0,7,159,1;0;0;1
56.76,200,0,,0,7,159,1;0;0;1
56.87,200,0,,0,7,159,1;0;0;1
56.97,200,0,,0,7,159,1;0;0;1
57.09,200,0,,0,7,159,1;0;0;1
57.2,200,0,,0,7,159,1;0;0;1
57.31,200,0,,0,7,159,1;0;0;1
57.42,200,0,,0,7,159,1;0;0;1
57.52,200,0,,0,7,141,1;0;0;1
57.66,200,0,,0,7,141,1;0;0;1
57.78,200,0,,0,7,141,1;0;0;1
57.88,200,0,,0,7,141,1;0;0;1
57.99,200,0,,0,7,141,1;0;0;1
58.1,200,0,,0,7,141,1;0;0;1
58.21,200,0,,0,7,141,1;0;0;1
58.31,200,0,,0,7,141,1;0;0;1
58.42,200,0,,0,7,141,1;0;0;1
58.53,200,0,,0,7,130,1;0;0;1
58.67,200,0,,0,7,130,1;0;0;1
58.78,200,0,,0,7,130,1;0;0;1
58.88,200,0,,0,7,130,1;0;0;1
58.99,200,0,,0,7,130,1;0;0;1
59.11,200,0,,0,7,130,1;0;0;1
59.21,200,0,,0,7,130,1;0;0;1
59.32,200,0,,0,7,130,1;0;0;1
59.42,200,0,,0,7,130,1;0;0;1
59.53,200,0,,0,7,126,1;0;0;1
59.68,200,0,,0,7,126,1;0;0;1
59.79,200,0,,0,7,126,1;0;0;1
59.89,200,0,,0,7,126,1;0;0;1
59.99,200,0,,0,7,126,1;0;0;1
60.1,200,0,,0,7,126,1;0;0;1
60.2,200,0,,0,7,126,1;0;0;1
60.32,200,0,,0,7,126,1;0;0;1
60.42,200,0,,0,7,126,1;0;0;1
60.53,200,0,,0,7,126,1;0;0;1
60.63,200,0,,0,7,129,1;0;0;1
60.78,200,0,,0,7,129,1;0;0;1
60.89,200,0,,0,7,129,1;0;0;1
61.0,200,0,,0,7,129,1;0;0;1
61.11,200,0,,0,7,129,1;0;0;1
61.22,200,0,,0,7,129,1;0;0;1
61.33,200,0,,0,7,129,1;0;0;1
61.45,200,0,,0,7,129,1;0;0;1
61.55,200,0,,0,7,129,1;0;0;1
61.65,200,0,,0,6,148,0;0;1;1
61.79,200,0,,0,6,148,0;0;1;1
61.89,200,0,,0,6,148,0;0;1;1
61.99,200,0,,0,6,148,0;0;1;1
62.1,200,0,,0,6,148,0;0;1;1
62.2,200,0,,0,6,148,0;0;1;1
62.31,200,0,,0,6,148,0;0;1;1
62.42,200,0,,0,6,148,0;0;1;1
62.53,200,0,,0,6,148,0;0;1;1
62.64,200,0,,0,6,148,0;0;1;1
62.75,200,0,,0,7,143,1;0;0;1
62.88,200,0,,0,7,143,1;0;0;1
62.99,200,0,,0,7,143,1;0;0;1
63.09,200,0,,0,7,143,1;0;0;1
63.2,200,0,,0,7,143,1;0;0;1
63.31,200,0,,0,7,143,1;0;0;1
63.42,200,0,,0,7,143,1;0;0;1
63.52,200,0,,0,7,143,1;0;0;1
63.63,200,0,,0,7,143,1;0;0;1
63.74,200,0,,0,7,143,1;0;0;1
63.84,200,0,,0,7,127,1;0;0;1
63.99,200,0,,0,7,127,1;0;0;1
64.1,200,0,,0,7,127,1;0;0;1
64.21,200,0,,0,7,127,1;0;0;1
64.33,200,0,,0,7,127,1;0;0;1
64.43,200,0,,0,7,127,1;0;0;1
64.54,200,0,,0,7,127,1;0;0;1
64.66,200,0,,0,7,127,1;0;0;1
64.76,200,0,,0,7,127,1;0;0;1
64.87,200,0,,0,7,159,1;0;0;1
65.12,200,0,,0,7,159,1;0;0;1
65.23,200,0,,0,7,159,1;0;0;1
65.34,200,0,,0,7,159,1;0;0;1
65.46,200,0,,0,7,159,1;0;0;1
65.56,200,0,,0,7,159,1;0;0;1
65.66,200,0,,0,7,159,1;0;0;1
65.78,200,0,,0,7,159,1;0;0;1
65.88,200,0,,0,7,140,1;0;0;1
66.03,200,0,,0,7,140,1;0;0;1
66.14,200,0,,0,7,140,1;0;0;1
66.25,200,0,,0,7,140,1;0;0;1
66.37,200,0,,0,7,140,1;0;0;1
66.48,200,0,,0,7,140,1;0;0;1
66.6,200,0,,0,7,140,1;0;0;1
66.71,200,0,,0,7,140,1;0;0;1
66.81,200,0,,0,7,140,1;0;0;1
66.93,200,0,,0,7,148,1;0;0;1
67.07,200,0,,0,7,148,1;0;0;1
67.18,200,0,,0,7,148,1;0;0;1
67.28,200,0,,0,7,148,1;0;0;1
67.39,200,0,,0,7,148,1;0;0;1
